,underlying,triple,years,start,gap,P/L
0,SPY,SPXL,7,2010-02-06,-163.74892343558167,-386.0117892287726
1,SPY,SPXL,13,2010-09-22,-223.85481494549617,-47.481244005491135
2,SPY,SPXL,11,2012-04-24,-121.09838307318626,-97.9763399576932
3,SPY,SPXL,13,2008-12-14,-809.2002685231737,-354.6151833005533
4,SPY,SPXL,10,2009-11-05,-111.07116947330633,-161.77047417693484
5,SPY,SPXL,10,2015-02-15,132.9549844524006,432.9006771993036
6,SPY,SPXL,11,2009-04-02,-90.34959816024423,-190.30451145556663
7,SPY,SPXL,11,2009-08-05,-105.18664901476109,-148.21044819015785
8,SPY,SPXL,13,2012-05-31,195.36968334480025,690.6158279884457
9,SPY,SPXL,15,2009-12-11,-167.77999536012067,484.3589142008823
10,SPY,SPXL,14,2009-11-12,-36.726466377065435,102.5684368909142
11,SPY,SPXL,7,2013-11-03,-24.66185101339414,-59.68360954933769
12,SPY,SPXL,10,2013-04-30,-58.264076675117735,-50.70220030278051
13,SPY,SPXL,15,2009-05-01,51.14987644248322,352.5878473983121
14,SPY,SPXL,14,2009-03-24,-324.53894092851215,-216.78722112538526
15,SPY,SPXL,9,2014-12-18,8.696207234314727,108.11223230309133
16,SPY,SPXL,8,2014-09-20,-21.651738605170806,-74.27355235004369
17,SPY,SPXL,10,2012-04-24,-213.47858936871194,-224.13816137219328
18,SPY,SPXL,15,2010-04-15,6.245148904468806,621.3429162980265
19,SPY,SPXL,14,2010-05-13,-197.68262441855313,209.15110266272222
20,SPY,SPXL,15,2010-07-30,140.46012437565878,821.2035139241543
21,SPY,SPXL,7,2010-11-04,-158.41049982732,-340.3852790690207
22,SPY,SPXL,9,2013-02-22,-144.03229182061818,-162.3461110035737
23,SPY,SPXL,14,2010-03-08,-231.61213315832674,139.41106927835517
24,SPY,SPXL,15,2009-06-20,205.77530855508485,456.7557553911247
25,SPY,SPXL,15,2009-11-21,-212.23907802283793,447.74809692257804
26,SPY,SPXL,13,2009-09-24,-137.8179705205614,-259.55481812356174
27,SPY,SPXL,11,2013-06-21,60.9581023182252,290.4803935820546
28,SPY,SPXL,14,2011-03-31,120.56411623676149,581.4822641257078
29,SPY,SPXL,15,2009-01-27,-170.4062454276891,184.64923097872997
30,SPY,SPXL,13,2010-08-09,-298.90261190206206,-89.82232051269057
31,SPY,SPXL,12,2010-03-02,-429.95306053152126,-322.10178109696153
32,SPY,SPXL,6,2009-09-27,-29.208900465831107,-186.06133461542137
33,SPY,SPXL,15,2010-06-05,64.6567013951626,790.9490378443334
34,SPY,SPXL,9,2012-03-08,-144.26777159998812,-150.8114016190275
