Date,long_SOXX,short_SOXL,portfolio_total,beta_exposure,beta_exposure_pct,cumulative_cash,daily_pl,cumulative_pl,shares_SOXX,shares_SOXL,action
2010-06-09,3000.0,-1000.0,2000.0,0.0,0.0,0.0,0.0,0.0,205.39,-2067.54,inception
2010-06-10,3106.12,-1109.92,1996.19,-223.65,-0.07,0.0,-3.81,-3.81,205.39,-2067.54,hold
2010-06-11,3150.62,-1157.48,1993.14,-321.81,-0.1,0.0,-3.05,-6.86,205.39,-2067.54,hold
2010-06-14,3158.15,-1179.53,1978.62,-380.44,-0.12,0.0,-14.52,-21.38,205.39,-2067.54,hold
2010-06-15,3315.61,-1375.95,1939.66,-812.23,-0.24,0.0,-38.95,-60.34,205.39,-2067.54,hold
2010-06-16,3327.93,-1394.9,1933.03,-856.77,-0.26,0.0,-6.63,-66.97,205.39,-2067.54,hold
2010-06-17,3332.04,-1385.94,1946.1,-825.78,-0.25,0.0,13.07,-53.9,205.39,-2067.54,hold
2010-06-18,3324.51,-1376.64,1947.87,-805.4,-0.24,0.0,1.77,-52.13,205.39,-2067.54,hold
2010-06-21,3284.8,-1340.11,1944.69,-735.53,-0.22,0.0,-3.18,-55.31,205.39,-2067.54,hold
2010-06-22,3220.45,-1269.47,1950.98,-587.96,-0.18,0.0,6.29,-49.02,205.39,-2067.54,hold
2010-06-23,3233.45,-1280.49,1952.96,-608.03,-0.19,0.0,1.98,-47.04,205.39,-2067.54,hold
2010-06-24,3147.88,-1168.85,1979.03,-358.67,-0.11,0.0,26.07,-20.97,205.39,-2067.54,hold
2010-06-25,3156.78,-1172.64,1984.14,-361.14,-0.11,0.0,5.11,-15.86,205.39,-2067.54,hold
2010-06-28,3178.69,-1186.42,1992.26,-380.58,-0.12,0.0,8.13,-7.74,205.39,-2067.54,hold
2010-06-29,3043.82,-1024.81,2019.01,-30.62,-0.01,0.0,26.74,19.01,205.39,-2067.54,hold
2010-06-30,2992.47,-975.19,2017.28,66.9,0.02,0.0,-1.73,17.28,205.39,-2067.54,hold
2010-07-01,2986.99,-978.98,2008.01,50.05,0.02,0.0,-9.27,8.01,205.39,-2067.54,hold
2010-07-02,2971.25,-966.92,2004.33,70.49,0.02,0.0,-3.69,4.33,205.39,-2067.54,hold
2010-07-06,2963.03,-965.2,1997.84,67.45,0.02,0.0,-6.49,-2.16,205.39,-2067.54,hold
2010-07-07,3121.18,-1116.82,2004.36,-229.27,-0.07,0.0,6.53,4.36,205.39,-2067.54,hold
2010-07-08,3117.07,-1108.55,2008.52,-208.57,-0.07,0.0,4.16,8.52,205.39,-2067.54,hold
2010-07-09,3161.57,-1146.8,2014.77,-278.82,-0.09,0.0,6.25,14.77,205.39,-2067.54,hold
2010-07-12,3180.74,-1190.56,1990.18,-390.93,-0.12,0.0,-24.59,-9.82,205.39,-2067.54,hold
2010-07-13,3251.94,-1267.06,1984.88,-549.23,-0.17,0.0,-5.3,-15.12,205.39,-2067.54,hold
2010-07-14,3246.46,-1255.34,1991.12,-519.56,-0.16,0.0,6.24,-8.88,205.39,-2067.54,hold
2010-07-15,3241.67,-1239.14,2002.53,-475.76,-0.15,0.0,11.4,2.53,205.39,-2067.54,hold
2010-07-16,3145.82,-1121.29,2024.53,-218.06,-0.07,0.0,22.0,24.53,205.39,-2067.54,hold
2010-07-19,3230.72,-1206.06,2024.65,-387.47,-0.12,0.0,0.12,24.65,205.39,-2067.54,hold
2010-07-20,3226.61,-1209.51,2017.1,-401.92,-0.12,0.0,-7.55,17.1,205.39,-2067.54,hold
2010-07-21,3161.57,-1136.11,2025.46,-246.77,-0.08,0.0,8.36,25.46,205.39,-2067.54,hold
2010-07-22,3267.69,-1240.18,2027.51,-452.85,-0.14,0.0,2.05,27.51,205.39,-2067.54,hold
2010-07-23,3293.02,-1263.95,2029.06,-498.85,-0.15,0.0,1.55,29.06,205.39,-2067.54,hold
2010-07-26,3345.73,-1309.44,2036.29,-582.59,-0.17,0.0,7.23,36.29,205.39,-2067.54,hold
2010-07-27,3316.98,-1282.56,2034.42,-530.71,-0.16,0.0,-1.88,34.42,205.39,-2067.54,hold
2010-07-28,3262.21,-1216.06,2046.15,-385.96,-0.12,0.0,11.73,46.15,205.39,-2067.54,hold
2010-07-29,3182.11,-1142.31,2039.79,-244.84,-0.08,0.0,-6.36,39.79,205.39,-2067.54,hold
2010-07-30,3147.88,-1106.48,2041.4,-171.56,-0.05,0.0,1.61,41.4,205.39,-2067.54,hold
2010-08-02,3196.49,-1165.06,2031.43,-298.69,-0.09,0.0,-9.97,31.43,205.39,-2067.54,hold
2010-08-03,3167.73,-1129.91,2037.82,-222.0,-0.07,0.0,6.39,37.82,205.39,-2067.54,hold
2010-08-04,3197.17,-1162.99,2034.18,-291.8,-0.09,0.0,-3.64,34.18,205.39,-2067.54,hold
2010-08-05,3188.95,-1135.08,2053.88,-216.28,-0.07,0.0,19.7,53.88,205.39,-2067.54,hold
2010-08-06,3189.64,-1136.46,2053.18,-219.73,-0.07,0.0,-0.69,53.18,205.39,-2067.54,hold
2010-08-09,3210.18,-1155.07,2055.11,-255.02,-0.08,0.0,1.93,55.11,205.39,-2067.54,hold
2010-08-10,3132.82,-1066.5,2066.31,-66.7,-0.02,0.0,11.2,66.31,205.39,-2067.54,hold
2010-08-11,3009.58,-937.97,2071.61,195.66,0.07,0.0,5.3,71.61,205.39,-2067.54,hold
2010-08-12,2963.03,-900.41,2062.62,261.79,0.09,0.0,-8.99,62.62,205.39,-2067.54,hold
2010-08-13,2943.18,-873.19,2069.99,323.61,0.11,0.0,7.37,69.99,205.39,-2067.54,hold
2010-08-16,2951.39,-882.15,2069.24,304.94,0.1,0.0,-0.75,69.24,205.39,-2067.54,hold
2010-08-17,2992.47,-915.92,2076.55,244.71,0.08,0.0,7.31,76.55,205.39,-2067.54,hold
2010-08-18,3028.07,-946.59,2081.48,188.31,0.06,0.0,4.93,81.48,205.39,-2067.54,hold
2010-08-19,2984.25,-899.03,2085.22,287.15,0.1,0.0,3.74,85.22,205.39,-2067.54,hold
2010-08-20,2984.94,-909.37,2075.57,256.82,0.09,0.0,-9.65,75.57,205.39,-2067.54,hold
2010-08-23,2952.76,-877.32,2075.44,320.79,0.11,0.0,-0.13,75.44,205.39,-2067.54,hold
2010-08-24,2907.58,-832.87,2074.7,408.96,0.14,0.0,-0.73,74.7,205.39,-2067.54,hold
2010-08-25,2931.54,-858.03,2073.51,357.45,0.12,0.0,-1.19,73.51,205.39,-2067.54,hold
2010-08-26,2887.04,-809.1,2077.94,459.75,0.16,0.0,4.43,77.94,205.39,-2067.54,hold
2010-08-27,2950.71,-857.34,2093.37,378.69,0.13,0.0,15.43,93.37,205.39,-2067.54,hold
2010-08-30,2871.98,-795.31,2076.66,486.03,0.17,0.0,-16.71,76.66,205.39,-2067.54,hold
2010-08-31,2818.58,-744.66,2073.92,584.6,0.21,0.0,-2.75,73.92,205.39,-2067.54,hold
2010-09-01,2899.36,-813.92,2085.44,457.6,0.16,0.0,11.52,85.44,205.39,-2067.54,hold
2010-09-02,2958.24,-868.02,2090.22,354.18,0.12,0.0,4.78,90.22,205.39,-2067.54,hold
2010-09-03,3015.06,-905.58,2109.48,298.32,0.1,0.0,19.26,109.48,205.39,-2067.54,hold
2010-09-07,2944.55,-856.65,2087.9,374.6,0.13,0.0,-21.58,87.9,205.39,-2067.54,hold
2010-09-08,2931.54,-842.52,2089.02,403.97,0.14,0.0,1.12,89.02,205.39,-2067.54,hold
2010-09-09,2937.02,-845.97,2091.05,399.11,0.14,0.0,2.03,91.05,205.39,-2067.54,hold
2010-09-10,2900.73,-812.89,2087.84,462.07,0.16,0.0,-3.2,87.84,205.39,-2067.54,hold
2010-09-13,2993.15,-893.52,2099.63,312.59,0.1,0.0,11.79,99.63,205.39,-2067.54,hold
2010-09-14,3048.61,-937.28,2111.32,236.76,0.08,0.0,11.69,111.32,205.39,-2067.54,hold
2010-09-15,3043.82,-930.05,2113.77,253.67,0.08,0.0,2.44,113.77,205.39,-2067.54,hold
2010-09-16,3068.46,-949.69,2118.77,219.4,0.07,0.0,5.0,118.77,205.39,-2067.54,hold
2010-09-17,3070.52,-950.38,2120.14,219.38,0.07,0.0,1.36,120.14,205.39,-2067.54,hold
2010-09-20,3096.53,-961.75,2134.78,211.28,0.07,0.0,14.64,134.78,205.39,-2067.54,hold
2010-09-21,3103.38,-955.2,2148.17,237.77,0.08,0.0,13.39,148.17,205.39,-2067.54,hold
2010-09-22,3054.77,-915.57,2139.2,308.05,0.1,0.0,-8.98,139.2,205.39,-2067.54,hold
2010-09-23,3073.25,-933.15,2140.11,273.81,0.09,0.0,0.91,140.11,205.39,-2067.54,hold
2010-09-24,3210.18,-1044.11,2166.07,77.86,0.02,0.0,25.97,166.07,205.39,-2067.54,hold
2010-09-27,3193.75,-1026.19,2167.56,115.18,0.04,0.0,1.49,167.56,205.39,-2067.54,hold
2010-09-28,3249.89,-1074.09,2175.8,27.63,0.01,0.0,8.24,175.8,205.39,-2067.54,hold
2010-09-29,3258.1,-1097.86,2160.24,-35.49,-0.01,0.0,-15.56,160.24,205.39,-2067.54,hold
2010-09-30,3238.93,-1074.09,2164.85,16.67,0.01,0.0,4.61,164.85,205.39,-2067.54,hold
2010-10-01,3235.51,-1062.71,2172.79,47.36,0.01,0.0,7.95,172.79,205.39,-2067.54,hold
2010-10-04,3191.01,-1019.3,2171.71,133.12,0.04,0.0,-1.08,171.71,205.39,-2067.54,hold
2010-10-05,3272.48,-1083.04,2189.43,23.34,0.01,0.0,17.72,189.43,205.39,-2067.54,hold
2010-10-06,3222.5,-1045.83,2176.67,85.01,0.03,0.0,-12.76,176.67,205.39,-2067.54,hold
2010-10-07,3234.82,-1046.17,2188.65,96.3,0.03,0.0,11.98,188.65,205.39,-2067.54,hold
2010-10-08,3265.63,-1080.29,2185.34,24.77,0.01,0.0,-3.31,185.34,205.39,-2067.54,hold
2010-10-11,3290.96,-1099.93,2191.03,-8.83,-0.0,0.0,5.69,191.03,205.39,-2067.54,hold
2010-10-12,3314.24,-1123.36,2190.88,-55.85,-0.02,0.0,-0.15,190.88,205.39,-2067.54,hold
2010-10-13,3308.08,-1128.53,2179.55,-77.51,-0.02,0.0,-11.33,179.55,205.39,-2067.54,hold
2010-10-14,3299.86,-1119.23,2180.64,-57.82,-0.02,0.0,1.09,180.64,205.39,-2067.54,hold
2010-10-15,3313.56,-1144.73,2168.83,-120.63,-0.04,0.0,-11.81,168.83,205.39,-2067.54,hold
2010-10-18,3290.96,-1118.19,2172.77,-63.62,-0.02,0.0,3.94,172.77,205.39,-2067.54,hold
2010-10-19,3245.09,-1071.33,2173.76,31.1,0.01,0.0,0.99,173.76,205.39,-2067.54,hold
2010-10-20,3267.0,-1089.25,2177.75,-0.74,-0.0,0.0,3.99,177.75,205.39,-2067.54,hold
2010-10-21,3247.83,-1073.05,2174.78,28.67,0.01,0.0,-2.97,174.78,205.39,-2067.54,hold
2010-10-22,3310.82,-1136.8,2174.02,-99.59,-0.03,0.0,-0.76,174.02,205.39,-2067.54,hold
2010-10-25,3349.16,-1174.02,2175.14,-172.89,-0.05,0.0,1.12,175.14,205.39,-2067.54,hold
2010-10-26,3334.78,-1159.2,2175.58,-142.82,-0.04,0.0,0.44,175.58,205.39,-2067.54,hold
2010-10-27,3440.21,-1265.68,2174.53,-356.83,-0.1,0.0,-1.05,174.53,205.39,-2067.54,hold
2010-10-28,3441.58,-1268.78,2172.8,-364.76,-0.11,0.0,-1.73,172.8,205.39,-2067.54,hold
2010-10-29,3462.8,-1292.56,2170.25,-414.87,-0.12,0.0,-2.55,170.25,205.39,-2067.54,hold
2010-11-01,3451.85,-1279.46,2172.39,-386.53,-0.11,0.0,2.14,172.39,205.39,-2067.54,hold
2010-11-02,3475.13,-1304.27,2170.85,-437.69,-0.13,0.0,-1.53,170.85,205.39,-2067.54,hold
2010-11-03,3510.73,-1347.35,2163.38,-531.31,-0.15,0.0,-7.48,163.38,205.39,-2067.54,hold
2010-11-04,3620.26,-1471.05,2149.21,-792.9,-0.22,0.0,-14.17,149.21,205.39,-2067.54,hold
2010-11-05,3643.54,-1501.72,2141.82,-861.62,-0.24,0.0,-7.39,141.82,205.39,-2067.54,hold
2010-11-08,3642.86,-1503.79,2139.07,-868.51,-0.24,0.0,-2.75,139.07,205.39,-2067.54,hold
2010-11-09,3603.83,-1446.59,2157.25,-735.93,-0.2,0.0,18.18,157.25,205.39,-2067.54,hold
2010-11-10,3600.41,-1448.31,2152.1,-744.52,-0.21,0.0,-5.15,152.1,205.39,-2067.54,hold
2010-11-11,3560.7,-1397.66,2163.05,-632.26,-0.18,0.0,10.95,163.05,205.39,-2067.54,hold
2010-11-12,3559.33,-1394.21,2165.12,-623.29,-0.18,0.0,2.08,165.12,205.39,-2067.54,hold
2010-11-15,3532.63,-1363.2,2169.44,-556.95,-0.16,0.0,4.31,169.44,205.39,-2067.54,hold
2010-11-16,3481.97,-1305.31,2176.67,-433.94,-0.12,0.0,7.23,176.67,205.39,-2067.54,hold
2010-11-17,3479.23,-1301.52,2177.72,-425.31,-0.12,0.0,1.05,177.72,205.39,-2067.54,hold
2010-11-18,3542.22,-1374.22,2167.99,-580.45,-0.16,0.0,-9.72,167.99,205.39,-2067.54,hold
2010-11-19,3596.99,-1441.07,2155.91,-726.24,-0.2,0.0,-12.08,155.91,205.39,-2067.54,hold
2010-11-22,3642.86,-1494.48,2148.37,-840.6,-0.23,0.0,-7.54,148.37,205.39,-2067.54,hold
