,underlying,triple,years,start,gap,P/L
0,SPY,SPXL,12,2010-01-15,-544.837665886906,-329.46431535491047
1,SPY,SPXL,15,2010-07-08,92.9565074770635,803.6807649082584
2,SPY,SPXL,6,2010-11-19,-87.31929916851465,-295.09000004217637
3,SPY,SPXL,7,2010-08-06,-188.8289319175326,-379.95790539227664
4,SPY,SPXL,11,2010-11-11,-415.53315027189683,-264.7595936274183
5,SPY,SPXL,10,2010-05-28,-152.89653526019106,-198.8183862751266
6,SPY,SPXL,15,2010-01-11,-48.44442256546108,509.04521919514355
7,SPY,SPXL,12,2009-05-24,-342.3718307505151,-233.97436406870293
8,SPY,SPXL,7,2017-08-07,71.74764696002177,320.2300343575416
9,SPY,SPXL,9,2015-07-05,80.8816861733469,288.53226346057227
10,SPY,SPXL,13,2008-11-08,-604.7802282286402,-303.2536589318406
11,SPY,SPXL,10,2012-07-04,-153.62834640191738,-227.2042453172753
12,SPY,SPXL,10,2009-07-27,-146.16651066844747,-188.30437920024085
13,SPY,SPXL,13,2009-10-25,-136.55115419252365,-232.72531248158887
14,SPY,SPXL,9,2012-01-31,-150.58254364439108,-165.95867453800702
15,SPY,SPXL,8,2012-10-27,-87.91765673012253,-129.54684781098604
16,SPY,SPXL,14,2010-02-20,-247.94905105882617,117.44252912615684
17,SPY,SPXL,13,2012-05-03,141.76673796925934,624.1881393267295
18,SPY,SPXL,8,2011-02-11,-83.10015710432373,-186.90601232642663
19,SPY,SPXL,11,2009-12-05,-304.1695292144825,-261.38781178166937
20,SPY,SPXL,12,2012-01-15,-112.8568488346175,102.50997414050835
21,SPY,SPXL,12,2013-05-10,131.95634508656553,566.0700555471885
22,SPY,SPXL,10,2015-02-02,139.33635353564603,434.7413961271109
23,SPY,SPXL,15,2010-05-26,49.75515707092336,761.2312341872866
24,SPY,SPXL,9,2009-05-06,-169.6629995881135,-273.4620612568642
25,SPY,SPXL,14,2011-06-09,178.98252168205,701.267165055523
26,SPY,SPXL,9,2013-11-20,-42.66276912862622,-96.69531312193021
27,SPY,SPXL,7,2017-05-10,68.2780870149358,273.3689405255591
28,SPY,SPXL,14,2009-12-22,-255.6819379391518,28.353260153708106
29,SPY,SPXL,13,2009-09-02,-224.5558831278645,-263.39828950334413
30,SPY,SPXL,15,2010-03-31,-6.962776321871843,594.1713951439906
31,SPY,SPXL,14,2010-09-04,-153.98109247353614,388.0444147185726
32,SPY,SPXL,6,2017-03-25,13.13217764764184,74.08389131081549
33,SPY,SPXL,13,2009-08-08,-248.42410954130992,-273.4244733234091
34,SPY,SPXL,14,2009-03-20,-371.81919261558187,-260.2037326140471
35,SOXX,SOXL,9,2015-02-03,483.8324631559251,1271.8309894215781
36,SOXX,SOXL,12,2010-04-05,136.23414454560952,681.3549565967023
37,SOXX,SOXL,8,2017-03-16,180.22831873515742,1561.0600496954912
38,SOXX,SOXL,11,2010-10-15,-14.501531058464934,625.3073637485522
39,SOXX,SOXL,9,2014-01-16,125.50900743809234,772.8263376532623
40,SOXX,SOXL,6,2014-02-19,-3.7692334839719024,64.20302388619439
41,SOXX,SOXL,8,2012-08-04,-33.2789526381157,437.80678051868927
42,SOXX,SOXL,11,2010-12-10,-44.37116287062145,536.9158065233551
43,SOXX,SOXL,14,2011-04-19,394.5239855595312,3812.5025710330647
44,SOXX,SOXL,11,2014-03-26,609.9572093246124,2711.2187526033667
45,SOXX,SOXL,6,2017-01-20,46.322439568487425,462.4835536099217
46,SOXX,SOXL,13,2011-08-23,2247.3043043928938,3407.403085750906
47,SOXX,SOXL,10,2014-01-16,527.394837089254,1423.694354525609
48,SOXX,SOXL,12,2012-01-09,873.454425513115,1945.0102852604432
49,SOXX,SOXL,10,2013-03-19,244.62519508964488,1053.544441500595
50,SOXX,SOXL,12,2013-04-15,707.9789882066593,3813.4699277610143
51,SOXX,SOXL,13,2010-11-15,453.08532091016605,1810.631665978981
52,SOXX,SOXL,13,2010-09-23,576.134416639155,1981.7830872897866
53,SOXX,SOXL,11,2014-05-17,586.3172516993386,2894.6801335662367
54,SOXX,SOXL,14,2011-07-12,1602.1532355781837,4364.432175447419
55,SOXX,SOXL,13,2011-05-05,844.3103004937616,2153.792465989889
56,SOXX,SOXL,7,2016-12-06,198.01981492289883,906.6139482776271
57,SOXX,SOXL,13,2011-12-28,2080.729726581787,3846.147710262041
58,SOXX,SOXL,11,2014-05-21,574.2731351128434,2899.105198397072
59,SOXX,SOXL,9,2010-09-18,-98.8642991074862,48.41601932292906
60,SOXX,SOXL,14,2011-06-19,1258.2402344022394,4316.77408888872
61,SOXX,SOXL,12,2011-11-25,841.2500814503801,1996.5407850342854
62,SOXX,SOXL,14,2010-10-29,1510.607944745957,3456.8235680604193
63,SOXX,SOXL,14,2011-03-01,717.4138646491456,3335.1953535131215
64,SOXX,SOXL,14,2011-01-24,1094.8478489303711,3227.9782451757383
65,SOXX,SOXL,8,2013-06-06,42.08674310955848,377.8927561363489
66,SOXX,SOXL,11,2011-06-23,45.64032454701305,697.7922669859745
