,VIX,SOXX_Close,SOXX_per_change,SOXX_cumulative,SOXL_Close,SOXL_per_change,SOXL_cumulative,ideal_per_change,ideal_cumulative,shares_SOXX,shares_SOXL,P/L,portfolio_SOXX_long,portfolio_SOXL_short,portfolio_total,cash_used,beta_exposure,beta_exposure_per,cumulative_P/L
2010-06-09,33.73,14.61,100.0,100.0,0.48,100.0,100.0,100.0,100.0,0.0,0.0,0.0,3000.0,-1000.0,2000.0,0.0,0.0,0.0,0.0
2010-06-10,30.57,15.12,3.54,103.54,0.54,10.99,110.99,10.61,110.61,205.39,-2067.54,-3.81,3106.12,-1109.92,1996.19,0.0,-223.65,-0.07,-3.81
2010-06-11,28.79,15.34,1.43,105.02,0.56,4.28,115.75,4.3,115.37,205.39,-1875.93,-3.05,3150.62,-1050.21,2100.41,107.27,0.0,0.0,-6.86
2010-06-14,28.58,15.38,0.24,105.27,0.57,1.91,117.95,0.72,116.19,205.39,-1875.93,-12.48,3158.15,-1070.22,2087.93,107.27,-52.5,-0.02,-19.34
2010-06-15,25.87,16.14,4.99,110.52,0.67,16.65,137.59,14.96,133.57,205.39,-1660.71,-20.75,3315.61,-1105.2,2210.41,250.5,0.0,0.0,-40.09
2010-06-16,25.92,16.2,0.37,110.93,0.67,1.38,139.49,1.12,135.06,205.39,-1660.71,-2.9,3327.93,-1120.43,2207.51,250.5,-33.35,-0.01,-42.99
2010-06-17,25.05,16.22,0.12,111.07,0.67,-0.64,138.59,0.37,135.56,205.39,-1660.71,11.31,3332.04,-1113.23,2218.81,250.5,-7.65,-0.0,-31.69
2010-06-18,23.95,16.19,-0.23,110.82,0.67,-0.67,137.66,-0.68,134.64,205.39,-1660.71,-0.06,3324.51,-1105.76,2218.75,250.5,7.24,0.0,-31.74
2010-06-21,24.88,15.99,-1.19,109.49,0.65,-2.65,134.01,-3.58,129.82,205.39,-1660.71,-10.37,3284.8,-1076.42,2208.38,250.5,55.55,0.02,-42.11
2010-06-22,27.05,15.68,-1.96,107.35,0.61,-5.27,126.95,-5.88,122.19,205.39,-1660.71,-7.61,3220.45,-1019.68,2200.77,250.5,161.42,0.05,-49.73
2010-06-23,26.91,15.74,0.4,107.78,0.62,0.87,128.05,1.21,123.67,205.39,-1660.71,4.15,3233.45,-1028.53,2204.92,250.5,147.86,0.05,-45.57
2010-06-24,29.74,15.33,-2.65,104.93,0.57,-8.72,116.88,-7.94,113.85,205.39,-1856.06,4.1,3147.88,-1049.29,2098.59,140.06,0.0,0.0,-41.47
2010-06-25,28.53,15.37,0.28,105.23,0.57,0.32,117.26,0.85,114.82,205.39,-1856.06,5.5,3156.78,-1052.7,2104.08,140.06,-1.31,-0.0,-35.98
2010-06-28,29.0,15.48,0.69,105.96,0.57,1.18,118.64,2.08,117.21,205.39,-1856.06,9.54,3178.69,-1065.07,2113.62,140.06,-16.52,-0.01,-26.44
2010-06-29,34.13,14.82,-4.24,101.46,0.5,-13.62,102.48,-12.73,102.29,205.39,-1856.06,10.21,3043.82,-919.99,2123.83,140.06,283.85,0.09,-16.23
2010-06-30,34.54,14.57,-1.69,99.75,0.47,-4.84,97.52,-5.06,97.11,205.39,-2114.82,-6.8,2992.47,-997.49,1994.98,18.01,0.0,0.0,-23.03
2010-07-01,32.86,14.54,-0.18,99.57,0.47,0.39,97.9,-0.55,96.58,205.39,-2114.82,-9.35,2986.99,-1001.37,1985.63,18.01,-17.11,-0.01,-32.39
2010-07-02,30.12,14.47,-0.53,99.04,0.47,-1.23,96.69,-1.58,95.05,205.39,-2114.82,-3.41,2971.25,-989.03,1982.22,18.01,4.15,0.0,-35.8
2010-07-06,29.65,14.43,-0.28,98.77,0.47,-0.18,96.52,-0.83,94.26,205.39,-2114.82,-6.45,2963.03,-987.27,1975.76,18.01,1.23,0.0,-42.25
