Date,IWM quarterly returns (%),TNA quarterly returns (%)
2020-07-31,,
2020-08-31,0.164,0.163
2020-09-30,-0.098,-0.108
2020-10-31,0.066,0.052
2020-11-30,0.547,0.618
2020-12-31,0.259,0.274
2021-01-31,0.145,0.135
2021-02-28,0.186,0.178
2021-03-31,0.042,0.01
2021-04-30,0.054,0.048
2021-05-31,0.008,-0.004
2021-06-30,0.056,0.048
2021-07-31,-0.109,-0.117
2021-08-31,0.066,0.057
2021-09-30,-0.086,-0.093
2021-10-31,0.128,0.125
2021-11-30,-0.13,-0.134
2021-12-31,0.068,0.05
2022-01-31,-0.286,-0.278
2022-02-28,0.031,0.015
2022-03-31,0.035,0.014
2022-04-30,-0.297,-0.281
2022-05-31,0.006,-0.032
2022-06-30,-0.251,-0.251
2022-07-31,0.317,0.323
2022-08-31,-0.06,-0.077
2022-09-30,-0.29,-0.281
2022-10-31,0.335,0.332
2022-11-30,0.066,0.036
2022-12-31,-0.195,-0.2
2023-01-31,0.295,0.302
2023-02-28,-0.052,-0.068
2023-03-31,-0.145,-0.161
2023-04-30,-0.054,-0.069
2023-05-31,-0.024,-0.043
2023-06-30,0.242,0.237
2023-07-31,0.183,0.179
2023-08-31,-0.152,-0.158
2023-09-30,-0.176,-0.18
2023-10-31,-0.207,-0.208
2023-11-30,0.276,0.263
2023-12-31,0.364,0.38
2024-01-31,-0.117,-0.133
2024-02-29,0.169,0.149
2024-03-31,0.105,0.093
2024-04-30,-0.205,-0.209
2024-05-31,0.151,0.139
2024-06-30,-0.034,-0.047
2024-07-31,0.31,0.314
2024-08-31,-0.051,-0.083
2024-09-30,0.021,0.004
2024-10-31,-0.043,-0.058
2024-11-30,0.332,0.339
2024-12-31,-0.251,-0.248
2025-01-31,0.075,0.059
2025-02-28,-0.157,-0.163
2025-03-31,-0.206,-0.21
2025-04-30,-0.07,-0.13
2025-05-31,0.157,0.142
2025-06-30,0.166,0.159
2025-07-31,0.062,0.054
