Date,SOXX quarterly returns (%),SOXL quarterly returns (%)
2020-07-31,,
2020-08-31,0.174,0.179
2020-09-30,-0.015,-0.052
2020-10-31,0.009,-0.017
2020-11-30,0.553,0.631
2020-12-31,0.15,0.149
2021-01-31,0.097,0.074
2021-02-28,0.195,0.159
2021-03-31,0.057,-0.013
2021-04-30,-0.014,-0.034
2021-05-31,0.076,0.051
2021-06-30,0.153,0.149
2021-07-31,0.018,-0.003
2021-08-31,0.074,0.049
2021-09-30,-0.136,-0.14
2021-10-31,0.194,0.19
2021-11-30,0.345,0.357
2021-12-31,0.08,0.052
2022-01-31,-0.348,-0.345
2022-02-28,-0.033,-0.08
2022-03-31,0.0,-0.054
2022-04-30,-0.46,-0.427
2022-05-31,0.19,0.118
2022-06-30,-0.535,-0.472
2022-07-31,0.495,0.514
2022-08-31,-0.277,-0.292
2022-09-30,-0.399,-0.367
2022-10-31,0.073,0.007
2022-11-30,0.566,0.549
2022-12-31,-0.302,-0.298
2023-01-31,0.48,0.502
2023-02-28,0.046,0.009
2023-03-31,0.263,0.251
2023-04-30,-0.219,-0.222
2023-05-31,0.47,0.486
2023-06-30,0.197,0.176
2023-07-31,0.166,0.144
2023-08-31,-0.138,-0.16
2023-09-30,-0.208,-0.208
2023-10-31,-0.198,-0.21
2023-11-30,0.483,0.531
2023-12-31,0.371,0.38
2024-01-31,0.052,0.022
2024-02-29,0.338,0.335
2024-03-31,0.121,0.087
2024-04-30,-0.158,-0.179
2024-05-31,0.281,0.273
2024-06-30,0.166,0.143
2024-07-31,-0.137,-0.198
2024-08-31,-0.054,-0.126
2024-09-30,0.0,-0.053
2024-10-31,-0.16,-0.18
2024-11-30,-0.039,-0.067
2024-12-31,0.006,-0.024
2025-01-31,0.037,-0.011
2025-02-28,-0.132,-0.159
2025-03-31,-0.289,-0.296
2025-04-30,-0.069,-0.238
2025-05-31,0.344,0.33
2025-06-30,0.502,0.558
2025-07-31,0.058,0.046
